,Book,Author(s),Original language,First published,Approximate sales,Genre
65,Pride and Prejudice,Jane Austen,English,1813,20 million[118][119],"Classic regency novel, romance"
66,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[120],Travel literature
67,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed)[121],Unfinished satirical dark comedy novel
68,Where the Wild Things Are,Maurice Sendak,English,1963,20 million[122],Children's picture book
69,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[123],Self-help
70,The Secret,Rhonda Byrne,English,2006,20 million[124],Self-help
71,Fear of Flying,Erica Jong,English,1973,20 million[125],Romantic novel
72,Dune,Frank Herbert,English,1965,20 million[126],Science fiction novel
73,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[127],Children's fantasy novel
74,The Naked Ape,Desmond Morris,English,1968,20 million[128],"Social Science, Anthropology, Psychology"
